model,counting,user,timeline,
gemini-2.5-pro,0.2, 0.2, 0.2, 
gpt-5-nano,0.4856304553755212, 0.5519700280300857, 0.4211337121715457, 
gpt-5-mini,0.6149437987379407, 0.6406808783711516, 0.5531830007718297, 
gpt-5,0.6328207133044226, 0.7170269482791911, 0.6569068450802297, 
gpt-5-nano-labels,0.5907642005118022, 0.5583993650329899, 0.4387084910749424, 
gpt-5-labels,0.7548815518463314, 0.7408994490725135, 0.6844818529986925, 
gpt-5-low,0.5489526199296184, 0.644102028994859, 0.5603400709618821, 
o4-mini,0.6129199705799753, 0.5968751733501753, 0.49140151819448763, 
o3,0.5921214661381882, 0.6886535315286546, 0.5895234659817786, 
Llama-4-Maverick-17B-128E-Instruct-FP8,0.2678516379693953, 0.11819358974774755, 0.10890622843705373, 
qwen3-235b-a22b,0.24241107407555357, 0.131315206632645, 0.14196043362008404, 
claude-sonnet-4-20250514,0.5237982622291959, 0.6278541624746291, 0.4846160431134457, 
gpt-5-nano-low,0.44136403130143553, 0.5247568973732478, 0.36872332750069214, 
gpt-5-nano-high,0.48877563861091916, 0.588680724807197, 0.4699187492874357, 
deepseek-r1-0528,0.16005623376656938, 0.18349820091610863, 0.048484848484848485, 
